484	234	0
70	55	1
1240	368	2
460	258	3
1180	512	4
3490	513	5
657	325	6
691	310	7
1	1	8
925	412	9
663	247	10
654	365	11
657	323	12
920	339	13
25	24	14
80	63	15
745	472	16
388	237	17
9586	1068	18
648	321	19
1700	754	20
475	216	21
1242	461	22
1781	708	23
408	219	24
605	256	25
864	348	26
1560	314	27
1742	411	28
416	237	29
4767	786	30
597	298	31
1562	559	32
116	54	33
2201	708	34
1887	892	35
2	2	36
1624	613	37
1	1	38
21436	1733	39
494	140	40
2548	909	41
764	212	42
1032	455	43
2553	909	44
12	12	45
1436	703	46
618	332	47
80	72	48
770	249	49
483	264	50
729	345	51
1132	600	52
39	35	53
1302	651	54
1672	713	55
5193	724	56
248	128	57
636	277	58
1891	1633	59
550	276	60
1	1	61
1672	713	62
680	404	63
6	6	64
553	287	65
409	196	66
620	283	67
1084	472	68
548	228	69
509	316	70
25	16	71
59	34	72
25	21	73
2295	808	74
465	190	75
5191	377	76
4862	285	77
529	263	78
1314	569	79
670	392	80
157	110	81
2103	1004	82
1111	496	83
309	199	84
587	337	85
2205	701	86
665	372	87
261	206	88
297	132	89
293	162	90
969	531	91
7923	2405	92
632	236	93
559	305	94
1023	566	95
954	413	96
481	228	97
370	164	98
598	328	99
161	111	100
124	65	101
2296	942	102
437	240	103
17	12	104
673	276	105
109	71	106
444	197	107
114	94	108
80	47	109
730	364	110
457	238	111
121	82	112
96	55	113
8	8	114
594	350	115
811	501	116
14	11	117
1616	292	118
311	194	119
270	201	120
499	176	121
16	10	122
325	235	123
2354	908	124
352	216	125
1126	427	126
13	13	127
1460	659	128
597	385	129
166	128	130
581	239	131
1232	733	132
933	426	133
118	75	134
405	162	135
1598	284	136
85	54	137
251	126	138
504	303	139
829	332	140
378	246	141
28	23	142
319	204	143
674	291	144
13	13	145
475	237	146
9	9	147
251	126	148
588	171	149
290	166	150
8	8	151
403	207	152
13	13	153
5	5	154
207	152	155
616	278	156
2166	929	157
281	152	158
326	129	159
458	266	160
299	196	161
1204	482	162
53	37	163
1896	1630	164
1439	581	165
255	55	166
0	0	167
4844	463	168
25924	2143	169
1081	451	170
22	19	171
1828	728	172
29	24	173
562	220	174
0	0	175
1150	588	176
1568	818	177
259	149	178
961	426	179
305	141	180
806	421	181
441	241	182
1074	647	183
78	62	184
405	306	185
151	111	186
880	301	187
2714	1231	188
463	293	189
221	48	190
1587	706	191
707	344	192
213	118	193
488	334	194
558	295	195
226	132	196
137	88	197
39	35	198
958	430	199
374	201	200
139	59	201
1093	482	202
15	8	203
18	16	204
444	231	205
838	245	206
881	314	207
27	16	208
145	102	209
1708	880	210
242	126	211
840	246	212
400	202	213
236	190	214
1	1	215
648	295	216
338	182	217
1101	527	218
322	175	219
334	235	220
1	1	221
2197	856	222
3681	1031	223
770	411	224
462	174	225
704	321	226
228	138	227
440	229	228
53	42	229
375	244	230
25	18	231
1002	542	232
1067	438	233
509	238	234
1218	369	235
318	297	236
12	8	237
72	39	238
2173	133	239
1166	459	240
326	122	241
547	401	242
1549	346	243
410	254	244
607	319	245
39	35	246
1205	477	247
4128	1077	248
349	154	249
261	180	250
134	79	251
1472	716	252
580	349	253
283	115	254
611	377	255
1467	633	256
1998	510	257
550	195	258
6302	568	259
1311	723	260
121	82	261
2	2	262
1508	839	263
261	131	264
583	301	265
66	57	266
1	1	267
133	108	268
703	340	269
710	302	270
9	9	271
490	459	272
1955	581	273
274	186	274
81	62	275
696	354	276
1	1	277
0	0	278
328	177	279
18	13	280
12	12	281
651	344	282
458	234	283
561	331	284
1	1	285
2154	981	286
0	0	287
1	1	288
978	568	289
158	136	290
301	243	291
3425	432	292
2039	530	293
30	27	294
151	90	295
1162	472	296
165	116	297
65	55	298
1235	448	299
230	108	300
6	6	301
529	216	302
248	173	303
866	578	304
251	138	305
480	268	306
72	63	307
111	79	308
12	12	309
249	187	310
914	414	311
447	300	312
622	205	313
391	197	314
213	128	315
11	9	316
165	116	317
531	272	318
2	2	319
995	562	320
313	175	321
522	295	322
158	111	323
262	137	324
183	128	325
213	112	326
112	76	327
147	107	328
892	455	329
438	151	330
804	396	331
1181	480	332
1101	541	333
4067	1331	334
465	226	335
385	181	336
5008	1015	337
450	290	338
445	248	339
6	6	340
845	428	341
400	238	342
1285	628	343
422	265	344
111	73	345
224	160	346
245	138	347
529	216	348
758	441	349
1156	473	350
77	50	351
1239	460	352
564	334	353
424	277	354
2051	738	355
314	126	356
339	236	357
81	59	358
634	296	359
50	41	360
1	1	361
2252	700	362
171	127	363
933	426	364
235	82	365
7	7	366
1326	598	367
521	267	368
461	208	369
827	434	370
67	52	371
157	102	372
1545	601	373
796	420	374
169	77	375
505	306	376
232	71	377
1646	554	378
977	427	379
218	116	380
695	295	381
952	545	382
356	267	383
220	158	384
327	187	385
1276	720	386
378	228	387
490	459	388
653	218	389
239	170	390
617	365	391
2903	1515	392
39	35	393
755	340	394
1001	527	395
2235	179	396
1	1	397
1	1	398
370	158	399
4635	1949	400
237	162	401
56	28	402
3209	874	403
206	116	404
40	34	405
99	76	406
658	364	407
551	387	408
150	102	409
346	255	410
18	15	411
267	182	412
1262	528	413
2438	809	414
638	388	415
828	322	416
1598	284	417
557	253	418
708	360	419
652	292	420
574	247	421
3	3	422
879	313	423
39	35	424
589	328	425
847	404	426
221	94	427
1758	390	428
985	433	429
5002	2067	430
331	224	431
397	199	432
1769	610	433
988	647	434
671	268	435
68	48	436
106	68	437
285	141	438
678	412	439
0	0	440
524	260	441
633	414	442
899	491	443
421	289	444
69	56	445
61	53	446
8	8	447
1	1	448
4491	778	449
457	268	450
965	564	451
1668	609	452
435	219	453
341	157	454
124	79	455
